level,program,group,school,duration,campus,source_file
UG,B.Tech – Bioengineering,Group A,,,Vellore,Academic Fee.pdf
UG,B.Tech – Biotechnology,Group A,,,Vellore,Academic Fee.pdf
UG,B.Tech – Chemical Engineering,Group A,,,Vellore,Academic Fee.pdf
UG,B.Tech – Civil Engineering,Group A,,,Vellore,Academic Fee.pdf
UG,B.Tech – Civil Engineering (In collaboration with L&T),Group A,,,Vellore,Academic Fee.pdf
UG,B.Tech – Electrical and Electronics Engineering,Group A,,,Vellore,Academic Fee.pdf
UG,B.Tech – Electronics and Instrumentation Engineering,Group A,,,Vellore,Academic Fee.pdf
UG,B.Tech – Fashion Technology,Group A,,,Vellore,Academic Fee.pdf
UG,B.Tech – Health Sciences and Technology,Group A,,,Vellore,Academic Fee.pdf
UG,B.Tech – Aerospace Engineering,Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Computer Science and Engineering,Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Computer Science and Engineering (Software Engineering),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Computer Science & Engineering (E-Commerce Technology),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Computer Science and Business Systems,Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Computer Science & Engineering (Education Technology),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Computer Science and Engineering and Business Systems (in collaboration with TCS),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Electrical and Computer Science Engineering,Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Computer Science and Engineering (Artificial Intelligence and Machine Learning),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Electronics and Communication Engineering,Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Computer Science and Engineering (Artificial Intelligence and Robotics),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Electronics and Communication Engineering (Artificial Intelligence & Cybernetics),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Computer Science and Engineering (Artificial Intelligence and Data Engineering),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Electronics and Communication Engineering (Biomedical Engineering),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Computer Science and Engineering (Bioinformatics),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Electronics and Communication Engineering (Embedded systems),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Computer Science and Engineering (Block chain),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Electronics and Communication Engineering (VLSI),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Computer Science and Engineering (Cloud Computing & Automation),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Electronics and Computer Engineering,Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Computer Science and Engineering (Cyber Physical Systems),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Electronics Engineering (VLSI Design and Technology),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Computer Science and Engineering (Cyber Security & Digital Forensics),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Information Technology,Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Computer Science and Engineering (Cyber Security),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Mechanical Engineering,Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Computer Science and Engineering (Data Analytics),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Mechanical Engineering (Artificial Intelligence & Robotics),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Mechanical Engineering (Automotive Design),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Computer Science and Engineering (Data Science),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Computer Science and Engineering (Gaming Technology),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Mechanical Engineering (Electric Vehicles),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Computer Science and Engineering (Health Informatics),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Mechanical Engineering (Robotics),Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Mechatronics and Automation,Group B,,,Vellore,Academic Fee.pdf
UG,B.Tech – Mechanical Engineering (Smart Manufacturing),Group B,,,Vellore,Academic Fee.pdf
UG,B.Arch,,,,Vellore,Academic Fee.pdf
UG,B.Des (Industrial Design),,,,Vellore,Academic Fee.pdf
UG,B.Sc. (Hons.) Agriculture,,,4 years,Vellore,Academic Fee.pdf
UG,B.Sc. (Hospitality and Hotel Administration),,,,Vellore,Academic Fee.pdf
UG,BCA,,,,Vellore,Academic Fee.pdf
UG,B.Sc. (Computer Science),,,,Vellore,Academic Fee.pdf
UG,B.Com,,,,Vellore,Academic Fee.pdf
UG,B.Com (Business Process Services),,,,Vellore,Academic Fee.pdf
UG,B.Com (Banking And Capital Markets),,,,Vellore,Academic Fee.pdf
UG,B.Com (Financial Technology),,,,Vellore,Academic Fee.pdf
UG,BBA,,,,Vellore,Academic Fee.pdf
UG,B.Sc. (Multimedia and Animation),,,,Vellore,Academic Fee.pdf
UG,B.Sc. Visual Communication,,,,Vellore,Academic Fee.pdf
UG,Integrated M.Tech. (5 Years),Integrated,,5 years,Vellore,Academic Fee.pdf
UG,Integrated M.Sc. Biotechnology (5 Years),Integrated,,5 years,Vellore,Academic Fee.pdf
UG,Integrated M.Sc. Food Science and Technology (5 Years),Integrated,,5 years,Vellore,Academic Fee.pdf
UG,Integrated M.Sc. Computational Statistics and Data Analytics (5 Years),Integrated,,5 years,Vellore,Academic Fee.pdf
UG,Integrated M.Sc. Physics (5 Years) (exit options available),Integrated,,5 years,Vellore,Academic Fee.pdf
UG,Integrated M.Sc. Chemistry (5 Years) (exit options available),Integrated,,5 years,Vellore,Academic Fee.pdf
UG,Integrated M.Sc. Mathematics (5 Years) (exit options available),Integrated,,5 years,Vellore,Academic Fee.pdf
